[Link],link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id
,0,1355,5219,1,0.23286,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.924743,40.576742,0.0 -111.929169,40.576850,0.0</coordinates></LineString>","<LineString><coordinates>-111.924746,40.576632,0.0 -111.929172,40.576740,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,5219,1355,1,0.23286,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929175,40.576630,0.0 -111.924749,40.576522,0.0</coordinates></LineString>","<LineString><coordinates>-111.929172,40.576740,0.0 -111.924746,40.576632,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1355,11183,1,0.29515,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.924850,40.576598,0.0 -111.923510,40.572443,0.0</coordinates></LineString>","<LineString><coordinates>-111.924746,40.576632,0.0 -111.923406,40.572477,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11183,1355,1,0.29515,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.923302,40.572511,0.0 -111.924642,40.576666,0.0</coordinates></LineString>","<LineString><coordinates>-111.923406,40.572477,0.0 -111.924746,40.576632,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1356,6255,1,0.25269,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.924145,40.567072,0.0 -111.919657,40.565766,0.0</coordinates></LineString>","<LineString><coordinates>-111.924114,40.567177,0.0 -111.919626,40.565871,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,6255,1356,1,0.25269,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.919595,40.565976,0.0 -111.924083,40.567282,0.0</coordinates></LineString>","<LineString><coordinates>-111.919626,40.565871,0.0 -111.924114,40.567177,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1356,6256,1,0.27101,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.924095,40.567285,0.0 -111.929120,40.568152,0.0</coordinates></LineString>","<LineString><coordinates>-111.924114,40.567177,0.0 -111.929139,40.568044,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,6256,1356,1,0.27101,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.929158,40.567936,0.0 -111.924133,40.567069,0.0</coordinates></LineString>","<LineString><coordinates>-111.929139,40.568044,0.0 -111.924114,40.567177,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,1356,11183,1,0.36741,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.924005,40.567162,0.0 -111.923297,40.572462,0.0</coordinates></LineString>","<LineString><coordinates>-111.924114,40.567177,0.0 -111.923406,40.572477,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
,0,11183,1356,1,0.36741,7,50,2000,1,190,12,,0,"<LineString><coordinates>-111.923515,40.572492,0.0 -111.924223,40.567192,0.0</coordinates></LineString>","<LineString><coordinates>-111.923406,40.572477,0.0 -111.924114,40.567177,0.0</coordinates></LineString>",0.15,4,0,0,0,0,N,N,0
